,_id,DLY_QTY,DLY_GAIN,DLY_AWD_QTY,DLY_AWD_GAIN,TYPE,DATE,HOUR
4619,"{'DATE': '20190213', 'HOUR': 15.0, 'TYPE': 'BID'}",614.289,0.0,614.289,28380.151800000003,BID,20190213,15.0
4620,"{'DATE': '20190202', 'HOUR': 11.0, 'TYPE': 'OFF'}",718.783,2641.0,718.783,44801.74439,OFF,20190202,11.0
4621,"{'DATE': '20191017', 'HOUR': 17.0, 'TYPE': 'OFF'}",796.694,20787.16,796.694,56581.207879999994,OFF,20191017,17.0
4622,"{'DATE': '20190213', 'HOUR': 12.0, 'TYPE': 'BID'}",690.981,0.0,690.981,33678.41394,BID,20190213,12.0
4623,"{'DATE': '20190213', 'HOUR': 10.0, 'TYPE': 'BID'}",695.263,0.0,695.263,42473.61667,BID,20190213,10.0
4624,"{'DATE': '20190213', 'HOUR': 6.0, 'TYPE': 'BID'}",401.633,0.0,401.633,17583.49274,BID,20190213,6.0
4625,"{'DATE': '20190529', 'HOUR': 19.0, 'TYPE': 'BID'}",533.617,0.0,533.617,24631.76072,BID,20190529,19.0
4626,"{'DATE': '20181218', 'HOUR': 23.0, 'TYPE': 'OFF'}",511.992,15721.8,511.992,35429.8464,OFF,20181218,23.0
4627,"{'DATE': '20190402', 'HOUR': 19.0, 'TYPE': 'OFF'}",1172.39,17417.04,1172.39,70331.52410000001,OFF,20190402,19.0
4628,"{'DATE': '20191211', 'HOUR': 19.0, 'TYPE': 'BID'}",800.037,0.0,800.037,51754.39353,BID,20191211,19.0
4629,"{'DATE': '20181218', 'HOUR': 22.0, 'TYPE': 'OFF'}",775.62,5396.8,775.62,53921.102399999996,OFF,20181218,22.0
4630,"{'DATE': '20191113', 'HOUR': 9.0, 'TYPE': 'OFF'}",514.1850000000001,10391.04,514.1850000000001,36371.42015,OFF,20191113,9.0
4631,"{'DATE': '20190525', 'HOUR': 20.0, 'TYPE': 'OFF'}",708.734,18032.899999999998,708.734,33759.34224,OFF,20190525,20.0
4632,"{'DATE': '20190720', 'HOUR': 8.0, 'TYPE': 'BID'}",457.628,0.0,457.628,19490.376520000005,BID,20190720,8.0
4633,"{'DATE': '20190924', 'HOUR': 2.0, 'TYPE': 'BID'}",395.98199999999997,0.0,395.98199999999997,15641.289,BID,20190924,2.0
4634,"{'DATE': '20190320', 'HOUR': 9.0, 'TYPE': 'BID'}",777.2520000000001,0.0,777.2520000000001,49270.00428000001,BID,20190320,9.0
4635,"{'DATE': '20190826', 'HOUR': 2.0, 'TYPE': 'OFF'}",815.179,19105.5,815.179,30673.635400000003,OFF,20190826,2.0
4636,"{'DATE': '20190623', 'HOUR': 7.0, 'TYPE': 'OFF'}",1079.5049999999999,12223.36,1068.709,25935.66251,OFF,20190623,7.0
4637,"{'DATE': '20190324', 'HOUR': 19.0, 'TYPE': 'OFF'}",981.173,22791.329999999998,981.173,58752.639240000004,OFF,20190324,19.0
4638,"{'DATE': '20191005', 'HOUR': 19.0, 'TYPE': 'OFF'}",738.461,19586.5,738.461,42616.58431,OFF,20191005,19.0
4639,"{'DATE': '20190422', 'HOUR': 18.0, 'TYPE': 'BID'}",217.381,0.0,217.381,7286.6111200000005,BID,20190422,18.0
4640,"{'DATE': '20190505', 'HOUR': 18.0, 'TYPE': 'OFF'}",646.66,16141.019999999999,646.66,29176.9472,OFF,20190505,18.0
4641,"{'DATE': '20190816', 'HOUR': 13.0, 'TYPE': 'BID'}",358.867,0.0,358.867,12621.352390000002,BID,20190816,13.0
4642,"{'DATE': '20181218', 'HOUR': 12.0, 'TYPE': 'OFF'}",647.33,3248.0,647.33,45707.6841,OFF,20181218,12.0
4643,"{'DATE': '20190503', 'HOUR': 15.0, 'TYPE': 'OFF'}",562.297,16784.74,562.297,39056.878,OFF,20190503,15.0
4644,"{'DATE': '20181218', 'HOUR': 8.0, 'TYPE': 'OFF'}",737.4259999999999,5403.6,737.4259999999999,52526.85398,OFF,20181218,8.0
4645,"{'DATE': '20190104', 'HOUR': 4.0, 'TYPE': 'BID'}",355.591,0.0,355.591,16858.56931,BID,20190104,4.0
4646,"{'DATE': '20181218', 'HOUR': 5.0, 'TYPE': 'OFF'}",468.33299999999997,10335.0,468.33299999999997,23927.132970000002,OFF,20181218,5.0
4647,"{'DATE': '20190614', 'HOUR': 20.0, 'TYPE': 'OFF'}",1055.6,16647.239999999998,1055.6,62294.684120000005,OFF,20190614,20.0
4648,"{'DATE': '20190424', 'HOUR': 16.0, 'TYPE': 'OFF'}",1436.818,32219.2,1436.818,82899.18506,OFF,20190424,16.0
4649,"{'DATE': '20190615', 'HOUR': 16.0, 'TYPE': 'OFF'}",953.188,10919.96,840.506,22401.26908,OFF,20190615,16.0
4650,"{'DATE': '20190307', 'HOUR': 15.0, 'TYPE': 'OFF'}",1309.888,30032.4,1309.888,72716.10299,OFF,20190307,15.0
4651,"{'DATE': '20190104', 'HOUR': 16.0, 'TYPE': 'BID'}",406.019,0.0,406.019,28254.86221,BID,20190104,16.0
4652,"{'DATE': '20191005', 'HOUR': 13.0, 'TYPE': 'BID'}",301.104,0.0,301.104,12336.23088,BID,20191005,13.0
4653,"{'DATE': '20181218', 'HOUR': 1.0, 'TYPE': 'OFF'}",517.245,13573.0,517.245,29301.92925,OFF,20181218,1.0
4654,"{'DATE': '20190721', 'HOUR': 15.0, 'TYPE': 'OFF'}",777.068,14812.03,777.068,28875.846879999997,OFF,20190721,15.0
4655,"{'DATE': '20181218', 'HOUR': 24.0, 'TYPE': 'BID'}",678.868,0.0,678.868,45457.001280000004,BID,20181218,24.0
4656,"{'DATE': '20190529', 'HOUR': 10.0, 'TYPE': 'OFF'}",352.741,12040.235,352.741,17802.83827,OFF,20190529,10.0
4657,"{'DATE': '20190608', 'HOUR': 18.0, 'TYPE': 'OFF'}",1118.287,14871.59,1118.287,45133.301009999996,OFF,20190608,18.0
4658,"{'DATE': '20191016', 'HOUR': 8.0, 'TYPE': 'OFF'}",1059.099,27363.309999999998,1059.099,75683.21453999999,OFF,20191016,8.0
4659,"{'DATE': '20190530', 'HOUR': 1.0, 'TYPE': 'BID'}",544.02,0.0,544.02,22598.5908,BID,20190530,1.0
4660,"{'DATE': '20181218', 'HOUR': 21.0, 'TYPE': 'BID'}",866.6239999999999,0.0,866.6239999999999,64511.49055999999,BID,20181218,21.0
4661,"{'DATE': '20190324', 'HOUR': 24.0, 'TYPE': 'BID'}",352.152,0.0,352.152,16772.99976,BID,20190324,24.0
4662,"{'DATE': '20190203', 'HOUR': 12.0, 'TYPE': 'OFF'}",706.6,1341.0,706.6,37223.688,OFF,20190203,12.0
4663,"{'DATE': '20181218', 'HOUR': 18.0, 'TYPE': 'OFF'}",765.655,13484.0,765.655,69085.05065,OFF,20181218,18.0
4664,"{'DATE': '20190518', 'HOUR': 3.0, 'TYPE': 'OFF'}",663.273,12933.0,663.273,27029.2602,OFF,20190518,3.0
4665,"{'DATE': '20191129', 'HOUR': 24.0, 'TYPE': 'OFF'}",708.304,26574.65,708.304,31979.9256,OFF,20191129,24.0
4666,"{'DATE': '20181218', 'HOUR': 18.0, 'TYPE': 'BID'}",993.372,0.0,993.372,90575.65896,BID,20181218,18.0
4667,"{'DATE': '20190908', 'HOUR': 24.0, 'TYPE': 'OFF'}",1170.964,22127.22,1170.964,44812.79228,OFF,20190908,24.0
4668,"{'DATE': '20181218', 'HOUR': 17.0, 'TYPE': 'BID'}",894.982,0.0,894.982,79769.74565999999,BID,20181218,17.0
