,y,y_hat
314,[2823.495],1290.283745762711
315,[1491.108],-209.14352542372762
316,[6033.745],4927.151915254237
317,[6907.981],6451.562694915257
318,[6911.602],6753.517118644067
319,[6756.044],5869.586508474573
320,[6715.23],5679.1078305084775
321,[2570.148],1010.5173559322034
322,[1033.885],-690.7720847457624
323,[5821.375],4873.773237288137
324,[6893.74],6593.049559322035
325,[6634.258],6527.660440677963
326,[6492.343],6404.668694915256
327,[6895.966],6674.332915254236
328,[2268.669],1146.5260847457625
329,[1341.03],187.7445762711866
330,[5988.081],5387.594220338981
331,[6915.702],6721.396101694914
332,[6835.057],7194.160457627118
333,[9341.927],9100.717237288136
334,[9399.717],8787.967169491525
335,[5585.303],4341.893644067793
336,[3695.683],2282.0800169491517
337,[8094.41],7542.606203389832
338,[9061.673],8806.359779661016
339,[9153.121],8926.069067796603
340,[8795.804],8848.081016949156
341,[8761.275],8810.108355932203
342,[4966.944],4401.377491525422
343,[3436.131],2812.4649661016942
344,[3807.334],3116.1674915254243
345,[4504.211],4466.397033898304
346,[4475.754],4678.588033898303
347,[4310.359],3974.124152542372
348,[4059.224],3588.193355932204
349,[815.807],-96.5010677966101
350,[209.147],-744.459101694915
351,[4226.18],3814.412677966102
352,[5402.539],5575.15776344929
353,[5456.166],5855.551355932201
354,[5329.506],5113.042542372879
355,[5294.495],4957.301508474576
356,[1141.989],306.27089830508464
357,[412.402],-495.6841016949155
358,[4045.969],3629.0066949152524
359,[5049.062],5193.280576271189
360,[4641.475],4961.419000000004
361,[4638.839],4379.274661016949
362,[4092.634],3666.707627118644
363,[669.184],-198.054915254237
364,[6332.358],4648.054677966102
365,[408.702],-2140.9267457627107
366,[1840.22],27.713966101694666
367,[2593.26],1144.0830508474587
368,[2567.466],1995.5111525423738
369,[2054.318],1361.3535254237295
370,[104.388],-874.6505084745759
371,[1228.096],426.4215593220346
372,[2803.734],2240.115423728813
373,[2777.599],2771.3758135593216
374,[2627.641],2781.7471694915253
375,[2227.415],1711.302457627119
376,[2201.911],1563.7998135593225
377,[49.498],-880.9567796610168
378,[661.175],-165.24791525423672
379,[2144.213],1524.4141089872849
380,[2438.291],2420.4120847457625
381,[2268.06],2435.4057627118655
382,[2275.909],1795.1678474576272
383,[1978.263],1311.7576440677979
384,[11.613],-886.3727772651931
385,[365.383],-465.39123728813485
386,[1681.419],974.3617796610181
387,[2072.713],2046.1426949152558
388,[170.],11.216271186440757
389,[1939.097],1390.0822203389837
390,[1715.632],1010.5377627118652
391,[16.556],-907.9865084745758
392,[478.088],-723.7884745762706
393,[88.848],-1173.642673279268
394,[6860.14],7032.999217408384
395,[12572.866],13776.551830508475
396,[13632.47],14383.393389830511
397,[12870.386],13386.82162223691
398,[9597.223],9657.440220338978
399,[7352.79],7157.127084745763
400,[4746.222],4201.808033898303
401,[4771.716],4745.24440677966
402,[4960.788],5167.521152542372
403,[4952.861],5108.186694915256
404,[4371.742],4353.780101694918
405,[3991.571],3925.919067796611
406,[1948.253],1627.9674406779664
407,[4104.529],4110.672050847459
408,[4260.671],4727.771203389833
409,[4671.802],5276.907762711864
410,[4518.86],4558.545423728814
411,[4368.866],4228.7069461760175
412,[3831.279],3610.9553389830526
413,[1906.616],1442.4953131844234
414,[4251.261],4109.805542372882
415,[4567.394],5031.855694915254
416,[4477.746],5028.979084745763
417,[4433.483],4486.027271186438
418,[4779.107],4742.5029322033915
419,[4033.212],3950.7356610169486
420,[2565.845],2284.76106779661
421,[4884.634],4992.023830508472
422,[5230.947],5849.491135593221
423,[5218.752],5067.754576271188
424,[4914.914],5525.925796610167
425,[13912.74],15549.691864406785
426,[8791.227],9631.629299069351
427,[8596.816],9414.354983050851
428,[3924.807],4178.432627118644
429,[8546.779],9691.509983050846
430,[8262.212],9215.990440677968
431,[4629.494],4877.054677966103
432,[4215.855],4410.8727627118615
433,[2422.146],2394.282271186442
434,[1030.467],868.1689661016947
435,[6223.674],6768.997796610166
436,[7044.07],7992.486542372885
437,[6877.92],7720.868474576275
438,[6776.639],7404.764559322033
439,[3637.182],3799.743491525422
440,[2748.829],2814.0180169491523
441,[2236.291],2230.91906779661
442,[3372.839],3561.934050847456
443,[4064.011],4613.4886949152515
444,[4408.539],4956.7635423728825
445,[4344.745],4705.873949152546
446,[3675.061],3892.32858484598
447,[3366.528],3799.955525423729
448,[2317.142],2368.4023389830513
449,[2842.738],2995.5659322033885
450,[3516.28],3990.8188474576277
451,[3985.748],4461.362915254235
452,[3869.294],4381.896847457629
453,[4516.987],4199.271338983053
454,[2997.676],1699.3451525423739
