generator,number,operator,zone,max_quantity,min_quantity
UP_DI2554_NORD_A,552,['BANCO ENERGIA SPA'],['NORD'],14057,1
UP_OSTIGLIA_12,553,"['Bilateralista', 'EP PRODUZIONE SPA']",['NORD'],8565,1
UP_ORSARA_5,554,['EDISON SPA'],['SUD'],61348,18
UP_GUARNIERI_1,555,"['ENERGY.TRADE SRL', 'NEXT KRAFTWERKE GMBH']",['SUD'],52.5,3
UP_NVASOLMINE_1,556,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CNOR'],28575,14
UP_NURRI_1,557,"['TRAILSTONE GMBH', 'ENEL PRODUZIONE S.P.A.']",['SARD'],44134,1
UP_DI1196_SUD_C,558,['DANSKE COMMODITIES A.S'],['SUD'],954,17.61
UP_MONTARONE_1,559,['ENEL PRODUZIONE S.P.A.'],['SUD'],16463,1
UP_NUOVA_SER_1,560,['ENEL PRODUZIONE S.P.A.'],['CNOR'],85,29.5
UP_NUOVA_SAS_1,561,['ENEL PRODUZIONE S.P.A.'],['CNOR'],34,5.6
UP_CNTRLDCGNR_45,562,['AXPO ITALIA SPA'],['NORD'],51.15,0.3
UP_S.DAMIANO_1,563,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],28526,12402
UP_BARDONETT_1,564,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],42047,0.1
UP_NUOVA_RAD_1,565,['ENEL PRODUZIONE S.P.A.'],['CNOR'],84.6,10.7
UP_NUOVA_MON_1,566,['ENEL PRODUZIONE S.P.A.'],['CNOR'],12821,2.2
UP_NPWRRVENNA_11,567,"['ENI SPA', 'Bilateralista']",['NORD'],1848.91,0
UP_NPWRRVENNA_10,568,"['ENI SPA', 'Bilateralista']",['NORD'],1462,0
UP_BSCCIA48MW_1,569,['EDISON SPA'],['CSUD'],142214,11
UP_CNTRLDCGNR_46,570,['IREN ENERGIA SPA'],['NORD'],115,13
UPV_SWGMOEMSLTTO,571,['DOLOMITI ENERGIA TRADING SPA'],['SVIZ'],10,7
UP_DI8888_CSUD_Y,572,['GSE SPA'],['CSUD'],2105044,62762
UP_NPWRFRRRRB_9,573,"['ENI SPA', 'Bilateralista']",['NORD'],1661,0
UP_NPWRFRRRRB_8,574,"['ENI SPA', 'Bilateralista']",['NORD'],1800733,0
UP_TUSCIANO_1,575,"['Bilateralista', 'IREN ENERGIA SPA']",['CSUD'],17.9,2.2
UP_DI0228_NORD_G,576,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],35.74,409
UP_NPWRFRRRRB_10,577,"['ENI SPA', 'Bilateralista']",['NORD'],320,90
UP_S.F._DEL_6,578,['A2A ENERGIEFUTURE S.P.A.'],['SICI'],1407014,0.1
UP_CROT_1,579,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],33202,8001
UP_DI1196_CNOR_C,580,['DANSKE COMMODITIES A.S'],['CNOR'],224.71,7.51
UP_NPWRBRNDSI_9,581,"['ENI SPA', 'Bilateralista']",['BRNN'],1211,0
UP_NPWRBRNDSI_8,582,"['ENI SPA', 'Bilateralista']",['BRNN'],1686,0
UP_NOVEL_1,583,"['Bilateralista', 'ALPIQ ENERGIA ITALIA S.p.A.', 'GEOENERGIE S.P.A.']",['NORD'],365068,54.41
UP_NOVE_1,584,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],126072,3872
UP_NOCE_1,585,['EDISON SPA'],['NORD'],988,0
UP_CNTRLBMSSC_1,586,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['SUD'],32815,169
UP_NERAVELINO_1,587,"['Bilateralista', 'ERG POWER GENERATION S.P.A.']",['CNOR'],1440.4,1.4
UP_NEBRODIEST_1,588,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],149361,0.06
UP_NDRTTA22MW_1,589,['EDISON SPA'],['CSUD'],50.64,2
UP_DI1170_CNOR_C,590,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['CNOR'],92858,194
UP_NCTLVRNFRR_1,591,"['Bilateralista', 'EP PRODUZIONE SPA']",['NORD'],8172,0.01
UPV_HELMOEINTRNR,592,['INTERENERGO D.O.O.'],['GREC'],5,5
UP_TORNAVENT_1,593,['ENEL PRODUZIONE S.P.A.'],['NORD'],15.15,2.77
UP_RIZZICONI_1,594,['AXPO ITALIA SPA'],['ROSN'],2719.3,6
UP_NBRODINORD_1,595,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],173028,42
UP_NEMBIA_1,596,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],9.5,0.1
UP_GEROSA_1,597,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CNOR'],5098,595
UP_NAPOLIL_4,598,['TIRRENO POWER S.P.A.'],['CSUD'],1773234,159471
UP_S.FLORI.A_1,599,['ALPERIA ENERGY SRL'],['NORD'],410,0
UP_N_SMARTIN_1,600,['ENEL PRODUZIONE S.P.A.'],['CNOR'],71,16.8
UP_TORINONORD_1,601,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],1705.2,80001
UP_MONTALTO_3,602,['ENEL PRODUZIONE S.P.A.'],['CSUD'],650,0
UP_PNTVNTOUX2_1,603,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],216,40
UP_N_LARDERE_1,604,['ENEL PRODUZIONE S.P.A.'],['CNOR'],28.2,13.2
UPV_SWGDOEEESDWO,605,['EDELWEISS ENERGIA S.P.A.'],['SVIZ'],250,1
UP_VALMALENCO_1,606,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],1323472,0
UP_DI2518_SUD_C,607,['VEOS SPA'],['SUD'],11873,3
UP_MUCONE_2S_1,608,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],74.47,1987
UP_DI2345_CSUD_C,609,['ILLUMIA Spa'],['CSUD'],0.79,2
UP_MUCONE_1S_1,610,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],444432,0
UP_TRCARICOCC_1,611,"['SHELL ENERGY EUROPE LIMITED', 'DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],259182,9
UP_MSSRBZZRRO_1,612,"['DUFERCO ENERGIA S.p.A.', 'ENERGY.DIS S.R.L.']",['SUD'],36,4
UP_DI2513_CNOR_G,613,"['Bilateralista', '4ENERGIA SRL']",['CNOR'],8972,1
UP_MRCLLINARA_1,614,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],60768,1
UP_AEM-BRAUL_1,615,"['A2A SPA', 'Bilateralista']",['NORD'],37.01,0.01
UP_BUSSOL._M_1,616,"['Bilateralista', 'DOLOMITI ENERGIA TRADING SPA']",['NORD'],73.6,10
UP_VAGLIOIR_1,617,['EDISON SPA'],['SUD'],18227,308
UP_PANTANO_D_1,618,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],32.64,0
UP_MPNTLCSMBC_1,619,"['SERVIZI UNINDUSTRIA MULTIUTILITIES SPA', 'EDISON SPA']",['ROSN'],133493,5
UP_MPNTLCSCLS_2,620,"['DUFERCO ENERGIA S.p.A.', 'ENEL PRODUZIONE S.P.A.']",['SUD'],36275,1
UP_MPNTLCSCLS_1,621,"['DUFERCO ENERGIA S.p.A.', 'ENEL PRODUZIONE S.P.A.']",['SUD'],68882,1
UP_MPNTLCPTRM_1,622,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['SUD'],114961,13
UP_PSCINAWIND_1,623,"['ENECO SRL', 'EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],17538,1
UP_MPNTLCSCMP_1,624,['ENEL PRODUZIONE S.P.A.'],['CSUD'],56578,7
UP_MPNTLCDCTR_1,625,['ENEL PRODUZIONE S.P.A.'],['SUD'],102801,75
UP_DI2635_NORD_C,626,['ENECO SRL'],['NORD'],0.9,0.2
UPV_SWGD113201O,627,['ENSCO ENERGY SERVICES COMPANY AG'],['SVIZ'],70,1
UP_PELOS_1,628,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],139008,0
UP_MPNTLCCSNI_1,629,['2V ENERGY SRL'],['NORD'],18593,25
UP_DI2061_CSUD_C,630,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['CSUD'],572441,4
UP_MPNTDTRMVL_1,631,['FALCK RENEWABLES ENERGY SRL'],['NORD'],46442,4
UP_MPNTDRLTTR_33,632,"['Bilateralista', 'ALPERIA ENERGY SRL']",['NORD'],29466,0.41
UPV_SWGD113603O,633,['MAG ENERGY EUROPE INC'],['SVIZ'],600,1
UP_DI8888_NORD_Z,634,['GSE SPA'],['NORD'],114151,594
UP_MPNTDPRSLZ_1,635,"['A2A SPA', 'Bilateralista']",['NORD'],81,5
UPV_TERNA_SUD,636,['TERNA S.p.A.'],['SUD'],10000,0
UP_TRPNSALEMI_1,637,"['ENEL PRODUZIONE S.P.A.', 'DANSKE COMMODITIES A.S']",['SICI'],657.48,203
UP_MPNTDBLGNO_1,638,['Bilateralista'],['NORD'],48,0.1
UP_VALCAMONICA_1,639,['EDISON SPA'],['NORD'],272,1
UPV_SWGD108171O,640,['EDLO ENERGY SRL'],['SVIZ'],50,1
UP_SANCHIRICO_1,641,"['BKW ENERGIE AG', 'Bilateralista']",['SUD'],22,1
UP_MPNTCRRETO_3,642,"['EDISON SPA', 'BKW ENERGIE AG', 'Bilateralista']",['SUD'],32,1
UP_MORINO_1,643,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],23.18,0.01
UPV_SWGMOEERPNRO,644,['EUROPE ENERGY S.P.A.'],['SVIZ'],10,3
UP_TRNIENASPA_1,645,['ACEA ENERGIA SPA'],['CNOR'],18.8,1
UP_MORASCO_1,646,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],205342,0
UP_MONTJOVET_1,647,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],92.7,607
UP_MONTICELLI_1,648,"['BKW ENERGIE AG', 'Bilateralista']",['SUD'],12.9,1
UP_NPWRMNTOVA_2,649,"['Bilateralista', 'ENI SPA']",['NORD'],1399,0
UP_MONTEVERDE_3,650,['DANSKE COMMODITIES A.S'],['CSUD'],113.85,4.04
UP_DI2638_CNOR_C,651,"['BANCO ENERGIA FORNITURE SRL', 'BANCO ENERGIA SPA', 'SUN ENGINEERING SRL']",['CNOR'],5532,3.6
UP_MONTEVERD_2,652,['ENEL PRODUZIONE S.P.A.'],['CNOR'],39.9,10.2
UPV_HELDOEESLCDR,653,['ELECTRADE SPA'],['GREC'],225,1
UP_PONTECORV_1,654,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],20863,4067
UP_MONTEDURRA_1,655,['AXPO ITALIA SPA'],['SICI'],68244,0.02
UP_SNMRTNNPNS_1,656,"['EDISON SPA', 'ENEL PRODUZIONE S.P.A.']",['SUD'],25986,1
UP_DI2044_CSUD_G,657,['ENGIE ITALIA SPA'],['CSUD'],5984,1
UP_MONFALCO_2,658,"['A2A SPA', 'Bilateralista']",['NORD'],554,0.1
UP_DI2061_CNOR_C,659,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['CNOR'],153.55,2
UP_MOLINE_1,660,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],102,0
UP_VERRES_1,661,"['Bilateralista', 'C.V.A. TRADING S.R.L. A S.U.']",['NORD'],40.96,205
UP_RNRPNOLICO_1,662,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],21,1
UP_MNTPETRASI_1,663,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SICI'],65221,1
UP_MNTMURRO12_1,664,['AXPO ITALIA SPA'],['SUD'],111633,28
UP_MNTMLVIZZO_1,665,['AXPO ITALIA SPA'],['SICI'],43486,8
UP_CARDANO_1,666,"['Bilateralista', 'ALPERIA ENERGY SRL']",['NORD'],224,11
UP_NGRCNSLICE_1,667,['HERA TRADING S.R.L.'],['NORD'],162,10
UP_CTMPNTISUD_1,668,['ENEL PRODUZIONE S.P.A.'],['SARD'],31,4
UP_MNTGNFAETO_1,669,"['DUFERCO ENERGIA S.p.A.', 'ENEL PRODUZIONE S.P.A.']",['SUD'],27.99,1
UPV_SWGYOEEISPGO,670,['AXPO ITALIA SPA'],['SVIZ'],100,17
UP_BUSSENTO_1,671,['IREN ENERGIA SPA'],['CSUD'],416,1
UP_MNTFRRANTE_9,672,['EDISON SPA'],['CSUD'],82511,9
UP_MNTDLLDFSA_1,673,['ENEL PRODUZIONE S.P.A.'],['CSUD'],54404,63
UP_DI2044_SICI_C,674,['ENGIE ITALIA SPA'],['SICI'],45498,1
UP_MNRVNMRGCN_3,675,"['Bilateralista', 'FALCK RENEWABLES ENERGY SRL']",['SUD'],35.24,1
UP_DI2514_CSUD_C,676,['Bilateralista'],['CSUD'],45,1
UP_DI0367_CSUD_C,677,['CRE SCPA CONSORZIO PER LE RISORSE ENERGETICHE SCPA'],['CSUD'],9179,1
UP_FADALTO_1,678,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],456604,0
UP_IVPC_ANZA_1,679,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SUD'],83,5
UP_MISTRETTA_1,680,['EDISON SPA'],['SICI'],96.26,32
UP_SSTSNGVNNI_1,681,['EDISON SPA'],['NORD'],195208,1
UP_DI2578_NORD_G,682,['SEV ENERGIES SPA'],['NORD'],815,1
UP_MILAZZO_1,683,['EDISON SPA'],['SICI'],375001,1
UP_DI2126_CSUD_G,684,['FREE ENERGIA SPA'],['CSUD'],1.4,0.3
UP_DI2622_SUD_C,685,['INNOVENERGY s.r.l.'],['SUD'],105,1
UP_MELISSA_1,686,['EDISON SPA'],['SUD'],144143,48
UP_CPONTE14MW_1,687,"['TRAILSTONE GMBH', 'ENEL PRODUZIONE S.P.A.']",['SUD'],21863,1
UP_GRFALCOPEG_1,688,['ENEL PRODUZIONE S.P.A.'],['SUD'],49943,129
UP_GROSOTTO_1,689,"['A2A SPA', 'Bilateralista']",['NORD'],18751,0.01
UP_CANDELA_1,690,"['Bilateralista', 'EDISON SPA']",['FOGN'],2676.31,0
UP_MAZZUNNO_1,691,"['A2A SPA', 'Bilateralista']",['NORD'],11,1.1
UP_DI2570_SUD_G,692,['NGC 6611 SRL'],['SUD'],3016,16
UP_DI2326_NORD_C,693,['METAENERGIA SPA'],['NORD'],0.45,0.1
UP_BORGO_TRE_1,694,['2V ENERGY SRL'],['NORD'],61,33
UP_DI2410_NORD_C,695,['2V ENERGY SRL'],['NORD'],49488,2653
UP_SANGIACOMO_1,696,"['A2A SPA', 'Bilateralista']",['NORD'],44144,0.01
UP_DI1928_SUD_C,697,"['ECOWAY SPA', 'ZENERGIA SRL']",['SUD'],12,1
UP_MONCALIERI_3,698,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],2385.2,80001
UP_VLLCSTLLWF_1,699,"['ERG POWER GENERATION S.P.A.', 'EDP RENEWABLES ITALIA HOLDING SRL']",['SUD'],63763,34
UP_NVLTANURRA_1,700,['ENEL PRODUZIONE S.P.A.'],['SARD'],23926,3
UP_MARSICAII_1,701,"['ENECO SRL', 'EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],49814,1
UP_DI2055_CNOR_G,702,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CNOR'],13851,5
UP_MALPENSA__1,703,"['SEA ENERGIA SPA', 'Bilateralista']",['NORD'],79,5201
UPV_SWGM113201O,704,['ENSCO ENERGY SERVICES COMPANY AG'],['SVIZ'],5,2
UP_MAEN_4,705,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],54,0.5
UP_BPWRSRDGNA_1,706,"['OTTANA ENERGIA SPA', 'Bilateralista', 'ALPERIA ENERGY SRL']",['SARD'],103.2,14
UP_LIRO_1,707,"['Bilateralista', 'A2A SPA']",['NORD'],582.2,0.1
UP_DI2529_NORD_B,708,['Bilateralista'],['NORD'],1656,1
UP_LVTRNTTRTS_1,709,['GREEN NETWORK SPA'],['BRNN'],4.2,0.1
UP_BISACCIA2_1,710,['ERG POWER GENERATION S.P.A.'],['CSUD'],80326,16
UP_LTGRDPWRSR_1,711,['AXPO ITALIA SPA'],['NORD'],125.55,165
UP_SANFRONT_1,712,['ENEL PRODUZIONE S.P.A.'],['NORD'],29862,7266
UP_RWNDORDONA_1,713,"['4ENERGIA SRL', 'GNERA ENERGIA Y TECNOLOGIA']",['SUD'],179.9,3
UP_LMDCLMENTE_1,714,['ENOI S.P.A.'],['BRNN'],54489,1
UP_LMCARVOTTA_1,715,"['ENOI S.P.A.', 'Bilateralista', 'C.V.A. TRADING S.R.L. A S.U.']",['BRNN'],30298,0.01
UP_NVPGNONEMS_1,716,['ELECTRADE SPA'],['CNOR'],126.2,8
UP_LLSVTTRDLL_3,717,['GSE SPA'],['CSUD'],34.8,6.9
UP_LLSVTTRDLL_2,718,['GSE SPA'],['CSUD'],33.8,4
UP_DI2525_SARD_C,719,"['ECOWAY SRL', 'ECOWAY SPA']",['SARD'],44632,1
UP_LIVOLA16MW_1,720,"['AXPO ITALIA SPA', 'TRAILSTONE GMBH']",['SUD'],69.05,0.01
UPV_EXTYOEEETNRT,721,['ENERGIA E TERRITORIO SpA'],['NORD'],325,136
UP_LINATE1_1,722,"['SEA ENERGIA SPA', 'Bilateralista']",['NORD'],31508,307
UP_FT20DIFESA_1,723,"['DUFERCO ENERGIA S.p.A.', 'ENEL PRODUZIONE S.P.A.']",['SUD'],32786,1
UP_CORENNO_1,724,['ENEL PRODUZIONE S.P.A.'],['NORD'],41,2498
UP_DI2336_CSUD_C,725,['GNERA ENERGIA Y TECNOLOGIA'],['CSUD'],147079,1
UP_CASTELLET_1,726,['Bilateralista'],['NORD'],27,1.95
UP_LECCE3_2,727,['ENEL PRODUZIONE S.P.A.'],['SUD'],22902,0.01
UP_DARFO_1,728,"['A2A SPA', 'Bilateralista']",['NORD'],10,1.3
UP_DI0367_NORD_G,729,['CRE SCPA CONSORZIO PER LE RISORSE ENERGETICHE SCPA'],['NORD'],26988,0.1
UP_LE_PRATA_1,730,['ENEL PRODUZIONE S.P.A.'],['CNOR'],34,8.4
UP_LCNTRANORD_1,731,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],173357,121
UP_FRRRRANOVA_1,732,['EDISON SPA'],['NORD'],26846,1
UP_MASINO_1,733,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],11.4,0.41
UP_LCNTARASUD_1,734,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],170586,121
UP_MNTFRRANTE_4,735,['EDISON SPA'],['CSUD'],97.2,28
UP_DI1170_NORD_B,736,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['NORD'],80277,54
UP_GRTTLE36MW_1,737,['TRAILSTONE GMBH'],['SUD'],468,0.01
UP_LCDNCRRLLO_1,738,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],24,1
UP_LBPOWERSPA_1,739,['DUFERCO ENERGIA S.p.A.'],['NORD'],84042,1
UP_RDNVLLSCDL_1,740,['TRAILSTONE GMBH'],['SUD'],207.35,0.01
UP_CASTELDEL_1,741,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],58319,0
UP_CTTAMARETE_1,742,['BKW ENERGIE AG'],['CSUD'],514,2.5
UP_CURON_ME_1,743,['EDISON SPA'],['NORD'],42,0
UP_LAVELLO_1,744,"['ERG POWER GENERATION S.P.A.', 'EDP RENEWABLES ITALIA HOLDING SRL']",['SUD'],50.87,4
UP_GNSTRDGLSC_2,745,['ERG POWER GENERATION S.P.A.'],['CSUD'],108005,2
UP_MPNTFVSNTL_1,746,"['DUFENERGY TRADING SA', 'EDISON SPA', 'DXT COMMODITIES SA']",['NORD'],119.59,1
UP_LARINO_TG_2,747,['ENEL PRODUZIONE S.P.A.'],['SUD'],300,0
UP_PRESENZAN_1,748,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],5472624,480974
UP_LACEDONIA2_1,749,['ERG POWER GENERATION S.P.A.'],['CSUD'],51534,3
UP_MONASTERO_1,750,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],81513,2
UP_LA_CASELL_2,751,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],1725,0
UP_DI2336_SARD_C,752,['GNERA ENERGIA Y TECNOLOGIA'],['SARD'],35138,1
UP_LA_CASELL_1,753,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],1921,0
UP_DI1170_CSUD_C,754,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['CSUD'],110729,424
UP_DI2634_NORD_C,755,['EDISON SPA'],['NORD'],192.7,10545
UP_LUCITO_1,756,['EDISON SPA'],['SUD'],111524,2
UP_DI1902_NORD_G,757,['EN.E.R. TRADING S.p.A.'],['NORD'],67427,1
UP_DI2525_SUD_C,758,"['ECOWAY SRL', 'ECOWAY SPA']",['SUD'],222816,1
UP_DI2603_CSUD_C,759,"['A2A SPA', 'Bilateralista']",['CSUD'],3939,1
UP_JASMINE_1,760,"['SHELL ENERGY EUROPE LIMITED', 'DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],83599,1
UP_MNTFRRANTE_8,761,['EDISON SPA'],['CSUD'],38573,7
UP_EDIS_CIVI_1,762,['EDISON SPA'],['NORD'],69.46,0.5
UP_IVPC4_ROS_1,763,['ERG POWER GENERATION S.P.A.'],['SUD'],47962,4
UP_DI1156_SARD_C,764,['EVIVA SPA'],['SARD'],456728,1
UP_MASOCORON_1,765,['2V ENERGY SRL'],['NORD'],220,40
UP_CNTRLNTRNO_11,766,['ALPERIA ENERGY SRL'],['NORD'],7138,100
UP_LCTRSCLBRR_1,767,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SUD'],167,1
UP_IVPC4_LAC_1,768,['ERG POWER GENERATION S.P.A.'],['CSUD'],134863,6
UP_CLVCCHCLVE_1,769,['EOLICA ENERGIA SRL'],['SUD'],13691,1
UP_IVPC4_BIS_1,770,['ERG POWER GENERATION S.P.A.'],['CSUD'],101988,2
UP_DI1616_NORD_C,771,"['ENI SPA', 'Bilateralista']",['NORD'],649,1
UP_IVPC_MONT_1,772,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],70576,1
UP_MERCURE_1,773,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['SUD'],70,3
UP_ILPRIMO_1,774,"['GSE SPA', 'EDISON SPA']",['SUD'],127446,1
UP_ISOLLAZ_1,775,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],96,1
UP_MNTECAVUTI_1,776,['DANSKE COMMODITIES A.S'],['SUD'],81.55,15.84
UP_DI0312_CSUD_Z,777,['GREEN NETWORK SPA'],['CSUD'],921,1
UP_AGRI_1,778,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['SUD'],92214,0
UP_ELCE2_1,779,"['ENERGY.TRADE SRL', 'NEXT KRAFTWERKE GMBH']",['SUD'],52,3
UP_MAEN_5,780,['C.V.A. TRADING S.R.L. A S.U.'],['NORD'],130,40
UPV_SWGD105630O,781,['NVALUE SA'],['SVIZ'],500,1
UP_ISOLA_1,782,"['EGO TRADE SRL', 'EGO TRADE SPA']",['NORD'],50558,1
UP_IGES_3,783,"['Bilateralista', 'ITAL GREEN ENERGY SRL']",['SUD'],36,1.2
UP_HONE_1_1,784,['Bilateralista'],['NORD'],36.22,654
UP_CADARESE_1,785,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],96556,4001
UP_GUSPINI_1,786,"['TRAILSTONE GMBH', 'ENEL PRODUZIONE S.P.A.']",['SARD'],47932,2
UP_PPDOLUCANO_1,787,['DANSKE COMMODITIES A.S'],['SUD'],199.38,13.87
UP_GREENPATTI_1,788,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],337532,251
UP_NPWRBRNDSI_10,789,"['ENI SPA', 'Bilateralista']",['BRNN'],1495,0
UP_GRECI_1,790,['ERG POWER GENERATION S.P.A.'],['CSUD'],49215,1
UP_DI1621_NORD_C,791,"['Bilateralista', 'ENERGY.DIS S.R.L.']",['NORD'],345464,3
UP_RANCIA_1_1,792,['ENEL PRODUZIONE S.P.A.'],['CNOR'],37.5,13.1
UP_CENCENIGH_1,793,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],71.5,0
UP_DI0062_NORD_A,794,['AXPO ITALIA SPA'],['NORD'],13692,1
UP_DI2126_CSUD_C,795,['FREE ENERGIA SPA'],['CSUD'],27,0.01
UP_DI0323_CNOR_B,796,['CONSORZIO APUANIA ENERGIA'],['CNOR'],3.6,0.05
UP_GRAVEDONA_1,797,"['Bilateralista', 'A2A SPA']",['NORD'],70.44,0.01
UP_DI2554_SICI_C,798,['BANCO ENERGIA SPA'],['SICI'],183247,135
UP_CLDRLTTRCV_1,799,"['A2A SPA', 'Bilateralista']",['SARD'],2.1,0.2
UP_DI8888_CNOR_Z,800,['GSE SPA'],['CNOR'],18304,1
UP_GORDONA_1,801,"['A2A SPA', 'Bilateralista']",['NORD'],25.6,0.11
UPV_HELDOEEFTGNR,802,['ENERGY FINANCING TEAM AG'],['GREC'],90,1
UP_VOLTURARA_2,803,['ERG POWER GENERATION S.P.A.'],['SUD'],39475,1
UP_GNNSFNDIGA_1,804,"['TRAILSTONE GMBH', 'ENEL PRODUZIONE S.P.A.']",['SARD'],43935,2
UP_DI2044_NORD_A,805,['ENGIE ITALIA SPA'],['NORD'],167,5
UP_GISSI_2,806,"['Bilateralista', 'A2A SPA']",['FOGN'],2537,0.1
UP_GISSI_1,807,"['Bilateralista', 'A2A SPA']",['FOGN'],2328,0.1
UP_DI2428_CSUD_C,808,['ERG POWER GENERATION S.P.A.'],['CSUD'],39581,4
UPV_HELD111583R,809,['WATT AND VOLT S.A.'],['GREC'],95,1
UP_GIRIFALCO_1,810,['GSE SPA'],['ROSN'],22623,1
UP_DI2564_NORD_G,811,['FENIX SRL'],['NORD'],31898,2
UP_FARFA_I_1,812,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],7.5,0.05
UP_DI2665_CSUD_Y,813,['BAYWA R.E. CLEAN ENERGY S.r.l.'],['CSUD'],24,24
UP_GARGNANO_1,814,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],570775,0
UP_GARDONA_1,815,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],22.8,5.3
UP_GALLICANO_1,816,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CNOR'],46434,12649
UP_CMPMGGIORE_1,817,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SUD'],28,1
UP_DI0029_NORD_A,818,['C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.'],['NORD'],28248,102
UP_DI1170_SICI_G,819,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['SICI'],21906,1
UP_GALLETO_2,820,"['Bilateralista', 'ERG POWER GENERATION S.P.A.']",['CNOR'],640,1
UP_MBLSERVICE_1,821,['EGO TRADE SPA'],['CSUD'],24,36
UP_FUCINE_1,822,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],20.8,11
UPV_SWGXOEESDSNO,823,['EDISON SPA'],['SVIZ'],75,10
UP_FTVLTCNRSL_1,824,"['TRAILSTONE GMBH', 'DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['NORD'],173254,2
UP_FTTRLCDSNT_1,825,"['EDISON SPA', 'ENEL PRODUZIONE S.P.A.']",['CNOR'],49.21,1
