generator,number,operator,zone,max_quantity,min_quantity
UP_DI2055_SICI_C,161,"['EGO TRADE SPA', 'EGO TRADE SRL']",['SICI'],103785,1
UP_DI2189_NORD_C,162,['INTERCONSULT SRL'],['NORD'],3224,0.79
UPV_HELD113281R,163,['SENTRADE S.A.'],['GREC'],10,1
UP_DI0344_NORD_C,164,['TIRRENO POWER S.P.A.'],['NORD'],25533,0.8
UP_DI2228_NORD_C,165,['ROMA GAS E POWER SPA'],['NORD'],14258,1
UP_DI1174_CSUD_Z,166,['ELECTRADE SPA'],['CSUD'],3536,1
UP_DI0323_NORD_G,167,['CONSORZIO APUANIA ENERGIA'],['NORD'],1,0.1
UP_DI0182_CNOR_A,168,['ENEL PRODUZIONE S.P.A.'],['CNOR'],49422,1818
UPV_HELD125142R,169,['Volton Hellenic Energy S.A.'],['GREC'],13,1
UP_DI0088_NORD_A,170,['ITALGEN S.P.A.'],['NORD'],9924,1
UP_CRSBRZNSCA_1,171,['TIRRENO POWER S.P.A.'],['NORD'],16816,4204
UP_ETQ_ROVINA_1,172,['ENEL PRODUZIONE S.P.A.'],['NORD'],789629,0
UP_CORFINO_1,173,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CNOR'],25332,5637
UP_COMUNACQU_1,174,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],8456,3
UP_CASTROCUC_1,175,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],474669,0
UP_CAPRIATI_1,176,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],456.84,0
UP_CANEVA_2,177,['Bilateralista'],['NORD'],67.4,2.12
UP_QUARTNUS_1,178,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],80.4,1767
UP_TELESSIO_1,179,['IREN ENERGIA SPA'],['NORD'],424,3
UP_TRPNCNTRDC_3,180,['ENEL PRODUZIONE S.P.A.'],['SICI'],34898,9
UP_CANAVESE_1,181,"['A2A SPA', 'Bilateralista']",['NORD'],31204,1023
UP_CALORE_1,182,"['Bilateralista', 'IREN ENERGIA SPA']",['CSUD'],18,0.5
UP_CAIRO_MON_1,183,['TIRRENO POWER S.P.A.'],['NORD'],18,2
UPV_TERNA_SICI,184,['TERNA S.p.A.'],['SICI'],10000,0
UPV_TERNA_NORD,185,['TERNA S.p.A.'],['NORD'],10000,0
UPV_TERNA_CSUD,186,['TERNA S.p.A.'],['CSUD'],10000,0
UPV_TERNA_CNOR,187,['TERNA S.p.A.'],['CNOR'],10000,0
UP_TROIA_1,188,['EDISON SPA'],['SUD'],27651,115
UPV_SWGYOEINTRNO,189,['INTERENERGO D.O.O.'],['SVIZ'],20001,1
UP_DI1621_NORD_B,190,"['Bilateralista', 'ENERGY.DIS S.R.L.']",['NORD'],28.34,2
UP_DI0029_NORD_C,191,['C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.'],['NORD'],52111,1
UPV_SWGYOEHTSRRO,192,['HERA TRADING S.R.L.'],['SVIZ'],70,1
UP_MPNTLCDMRN_1,193,"['DUFENERGY TRADING SA', 'EDISON SPA']",['SICI'],92184,4
UPV_SWGYOEHSEDLO,194,['Bilateralista'],['SVIZ'],80,3
UPV_SWGYOEETSNLO,195,"['ENEL GLOBAL TRADING SPA', 'Bilateralista']",['SVIZ'],100,3
UPV_SWGYOEESLCDO,196,['ELECTRADE SPA'],['SVIZ'],4,1
UP_RIPALONGA_1,197,['DXT COMMODITIES SA'],['FOGN'],41.4,4
UPV_SWGYOEDESFRO,198,['ILLUMIA Spa'],['SVIZ'],80,1
UPV_HELD110522R,199,['ENSCO ENERGY SERVICES COMPANY AG'],['GREC'],90,1
UPV_SWGYOECTSVRO,200,['C.V.A. TRADING S.R.L. A S.U.'],['SVIZ'],66,1
UPV_SWGXOEREISZO,201,['REPOWER ITALIA SPA'],['SVIZ'],144,30
UPV_SWGROEESDSNO,202,['EDISON SPA'],['SVIZ'],185,2
UPV_SWGMOEESLCDO,203,['ELECTRADE SPA'],['SVIZ'],120,1
UPV_SWGMOEDESFRO,204,['ILLUMIA Spa'],['SVIZ'],170,3
UP_DI2044_CNOR_G,205,['ENGIE ITALIA SPA'],['CNOR'],24304,1023
UPV_SWGDOEMSLTTO,206,['DOLOMITI ENERGIA TRADING SPA'],['SVIZ'],90,4
UP_SIMERI_1,207,"['Bilateralista', 'A2A SPA']",['SUD'],325,0.1
UPV_SWGH108171O,208,"['Bilateralista', 'EDLO ENERGY SRL', 'EDLO ENERGY SPA']",['SVIZ'],12,9
UPV_SWGDOESTTKRO,209,['STATKRAFT MARKETS GMBH'],['SVIZ'],240,1
